32-beam center-offset table

Beam-center offsets are measured from the mechanical pointing center.

Session summary:
  utc_time            = 2026-05-20T03:39:56Z
  layout              = Hex37 drop5
  num_beams           = 32
  frequency_hz        = 1420000000.000000
  dish_diameter_m     = 7.500 m
  coverage_radius_deg = 0.82114461

Columns:
  BeamID            : beam index matching beam_centers.csv/json (1-based)
  q, r              : axial hex coordinates when available; n/a for non-hex layouts
  dEast_deg         : eastward offset from the mechanical pointing center (deg)
  dNorth_deg        : northward offset from the mechanical pointing center (deg)
  offset_deg        : total angular offset from the mechanical pointing center (deg)
  PA_deg            : position angle from East toward North, counterclockwise (deg)

BeamID    q    r      dEast_deg     dNorth_deg     offset_deg       PA_deg
     1   +0   +0    +0.00000000    +0.00000000     0.00000000     0.000000
     2   +1   +0    +0.27370654    +0.00000000     0.27370654     0.000000
     3   +0   +1    +0.13685288    +0.23703659     0.27370654    60.000000
     4   -1   +1    -0.13685288    +0.23703659     0.27370654   120.000000
     5   -1   +0    -0.27370654    +0.00000000     0.27370654   180.000000
     6   +0   -1    -0.13685288    -0.23703659     0.27370654   240.000000
     7   +1   -1    +0.13685288    -0.23703659     0.27370654   300.000000
     8   +2   +0    +0.54741933    +0.00000000     0.54741933     0.000000
     9   +1   +1    +0.41056176    +0.23703659     0.47407724    30.000000
    10   +0   +2    +0.27370654    +0.47407724     0.54741933    60.000000
    11   -1   +2    +0.00000000    +0.47407724     0.47407724    90.000000
    12   -2   +2    -0.27370654    +0.47407724     0.54741933   120.000000
    13   -2   +1    -0.41056176    +0.23703659     0.47407724   150.000000
    14   -2   +0    -0.54741933    +0.00000000     0.54741933   180.000000
    15   -1   -1    -0.41056176    -0.23703659     0.47407724   210.000000
    16   +0   -2    -0.27370654    -0.47407724     0.54741933   240.000000
    17   +1   -2    +0.00000000    -0.47407724     0.47407724   270.000000
    18   +2   -2    +0.27370654    -0.47407724     0.54741933   300.000000
    19   +2   -1    +0.41056176    -0.23703659     0.47407724   330.000000
    20   +2   +1    +0.68428001    +0.23703659     0.72417596    19.106605
    21   +1   +2    +0.54741933    +0.47407724     0.72417596    40.893395
    22   +0   +3    +0.41056176    +0.71112600     0.82114461    60.000000
    23   -2   +3    -0.13685288    +0.71112600     0.72417596   100.893395
    24   -3   +3    -0.41056176    +0.71112600     0.82114461   120.000000
    25   -3   +1    -0.68428001    +0.23703659     0.72417596   160.893395
    26   -3   +0    -0.82114461    +0.00000000     0.82114461   180.000000
    27   -2   -1    -0.68428001    -0.23703659     0.72417596   199.106605
    28   +0   -3    -0.41056176    -0.71112600     0.82114461   240.000000
    29   +1   -3    -0.13685288    -0.71112600     0.72417596   259.106605
    30   +3   -3    +0.41056176    -0.71112600     0.82114461   300.000000
    31   +3   -2    +0.54741933    -0.47407724     0.72417596   319.106605
    32   +3   -1    +0.68428001    -0.23703659     0.72417596   340.893395
